epoch,accuracy,loss,val_accuracy,val_loss
0,0.6399999856948853,0.686267614364624,0.6805194616317749,0.6285107731819153
1,0.6615872979164124,0.6585384011268616,0.6805194616317749,0.6152350306510925
2,0.6800000071525574,0.6312445402145386,0.6805194616317749,0.6069796681404114
3,0.6958730220794678,0.611560583114624,0.6805194616317749,0.6044994592666626
4,0.6933333277702332,0.5940283536911011,0.6805194616317749,0.5967369675636292
5,0.6977777481079102,0.5744022727012634,0.6805194616317749,0.5816414952278137
6,0.6984127163887024,0.5549421310424805,0.6805194616317749,0.5634515285491943
7,0.7034920454025269,0.540192723274231,0.6805194616317749,0.5585553646087646
8,0.709841251373291,0.5586152076721191,0.6805194616317749,0.5688081979751587
9,0.6996825337409973,0.5622749924659729,0.6805194616317749,0.5520486831665039
10,0.6939682364463806,0.5374264121055603,0.6805194616317749,0.5427596569061279
11,0.7168254256248474,0.5159195065498352,0.701298713684082,0.5220726132392883
12,0.7511110901832581,0.5048421025276184,0.7402597665786743,0.5154915452003479
13,0.7371428608894348,0.5042131543159485,0.7090908885002136,0.5215759873390198
14,0.7066666483879089,0.5351741909980774,0.7142857313156128,0.5225462913513184
15,0.7231746315956116,0.5187906622886658,0.7090908885002136,0.5186372399330139
16,0.7599999904632568,0.4945264458656311,0.7402597665786743,0.4992796778678894
17,0.7638095021247864,0.4783652722835541,0.7350649237632751,0.5003786683082581
18,0.7682539820671082,0.4797183573246002,0.7428571581840515,0.5018513202667236
19,0.7765079140663147,0.4657192826271057,0.7350649237632751,0.4984794855117798
