epoch,accuracy,loss,val_accuracy,val_loss
0,0.5949206352233887,1.1462560892105103,0.6805194616317749,0.6331591606140137
1,0.6107936501502991,0.9165400862693787,0.6311688423156738,0.6037770509719849
2,0.6355555653572083,0.9012287855148315,0.6389610171318054,0.6280096769332886
3,0.6342856884002686,0.8473917245864868,0.6805194616317749,0.6412190198898315
4,0.6431745886802673,0.8337717056274414,0.6831169128417969,0.5823310613632202
5,0.6552380919456482,0.8184043169021606,0.6805194616317749,0.7640151977539062
6,0.682539701461792,0.7784947156906128,0.6805194616317749,0.6174249649047852
7,0.6609523892402649,0.7926954627037048,0.6961038708686829,0.5464808940887451
8,0.6698412895202637,0.7457407712936401,0.7272727489471436,0.5248019099235535
9,0.6952381134033203,0.7006615996360779,0.7376623153686523,0.5001290440559387
10,0.705396831035614,0.6783815622329712,0.7480519413948059,0.4898795783519745
11,0.7301587462425232,0.6416347026824951,0.7116883397102356,0.541175901889801
12,0.7295238375663757,0.6117002964019775,0.7402597665786743,0.5335144996643066
13,0.7225396633148193,0.6198891997337341,0.7298701405525208,0.49275410175323486
14,0.7244444489479065,0.6346854567527771,0.7584415674209595,0.47399386763572693
15,0.725079357624054,0.6039586663246155,0.7558441758155823,0.47243720293045044
16,0.7365079522132874,0.591249942779541,0.7506493330001831,0.4684225022792816
17,0.7498412728309631,0.575779914855957,0.7428571581840515,0.4622530937194824
18,0.7606348991394043,0.546346127986908,0.7298701405525208,0.5076380968093872
19,0.7657142877578735,0.5567666292190552,0.7246752977371216,0.4776904284954071
20,0.7599999904632568,0.5611618161201477,0.6961038708686829,0.506436288356781
21,0.766349196434021,0.5253486037254333,0.7454545497894287,0.46732887625694275
22,0.7898412942886353,0.5015855431556702,0.7480519413948059,0.4589662551879883
23,0.7542856931686401,0.5491125583648682,0.7402597665786743,0.4627997577190399
24,0.7822222113609314,0.4756968915462494,0.7792207598686218,0.4431600570678711
25,0.7980952262878418,0.4625995457172394,0.7090908885002136,0.5015820860862732
26,0.789206326007843,0.48698559403419495,0.7454545497894287,0.47621026635169983
27,0.8146031498908997,0.42146235704421997,0.7402597665786743,0.49024173617362976
28,0.8107936382293701,0.4557870626449585,0.6701298952102661,0.575604259967804
29,0.8012698292732239,0.4606117010116577,0.7480519413948059,0.47729167342185974
30,0.8133333325386047,0.4225499629974365,0.6623376607894897,0.7179633378982544
31,0.8038095235824585,0.45710211992263794,0.7116883397102356,0.5214245319366455
32,0.821587324142456,0.42043545842170715,0.7740259766578674,0.4355863034725189
33,0.8514285683631897,0.35189756751060486,0.7662337422370911,0.4418255686759949
34,0.8558729887008667,0.3523477017879486,0.7636363506317139,0.46809715032577515
35,0.8501587510108948,0.35849711298942566,0.7064934968948364,0.5787156224250793
36,0.8419047594070435,0.394534707069397,0.7714285850524902,0.43857884407043457
37,0.8584126830101013,0.33173033595085144,0.7064934968948364,0.6049085855484009
38,0.8393650650978088,0.35409775376319885,0.7714285850524902,0.45269227027893066
39,0.868571400642395,0.3352998197078705,0.7532467246055603,0.49032577872276306
40,0.8438095450401306,0.3743399381637573,0.7610389590263367,0.48754584789276123
41,0.8615872859954834,0.3334513008594513,0.7792207598686218,0.4476945698261261
42,0.8571428656578064,0.32477110624313354,0.7766233682632446,0.6400010585784912
